Name,Description,Price,Stock,Seller Username
Zara 时尚都市手提包 2023新款,"来自Zara的2023新款都市手提包，专为现代女性设计，完美融合时尚与实用性。
采用高品质PU皮革打造，触感柔软耐用，尺寸为35cm x 25cm x 15cm，容量充足，可轻松装下日常必需品如笔记本、化妆包等。
经典黑色与金属拉链设计，展现Zara一贯的简约优雅风格，适合通勤、约会或周末出游等多种场景。
作为全球潮流引领者，Zara始终致力于为消费者带来兼具设计感与功能性的单品，这款手提包正是您衣橱的必备之选！",329.99,127,seller01@cxk.com
Adidas 经典双肩背包 Power VI 升级版,"Adidas 经典双肩背包 Power VI 升级版，专为都市潮流与实用功能设计，完美诠释阿迪达斯“通过运动改变生活”的品牌理念。
采用高强度聚酯纤维材质，耐磨防泼水，尺寸为45x30x15cm，容量约25L，提供充足存储空间，适合日常通勤或短途旅行。
经典黑色搭配标志性三条纹设计，时尚百搭；内置笔记本电脑隔层与多个口袋，满足学生、上班族的多样化需求。
无论是健身、校园还是街头出行，这款背包都能成为你的最佳伙伴，舒适肩带设计减轻负担，伴你自信前行！",599.99,127,seller01@cxk.com
Zara 都市风休闲鞋 2023秋季新款,"融合 Zara 品牌一贯的简约时尚设计，这款 2023 秋季新款休闲鞋专为都市潮流人士打造。采用优质牛皮革面料，柔软舒适，搭配耐磨橡胶大底，提供出色的抓地力与耐用性。鞋身以经典黑白配色为主，鞋码覆盖 35-44 码，适合多种脚型。
无论是日常通勤、街头漫步还是周末出游，这双鞋都能完美适配你的休闲装扮，展现 Zara 倡导的优雅与自由的生活态度。
鞋内加入透气网布内里，长时间穿着也能保持干爽，细节处体现品牌对品质的追求。现在就入手，感受 Zara 带来的时尚与舒适双重体验！",359.90,127,seller01@cxk.com
COACH 经典复古手提包 C2023 限量款,"COACH 经典复古手提包 C2023 限量款，传承品牌一贯的精致工艺与时尚设计，完美融合经典与现代风格。
采用顶级荔枝纹牛皮制作，触感细腻耐磨，配以金色金属配件，彰显高端气质；尺寸为 30cm x 20cm x 12cm，容量充足，可轻松装下日常必需品；经典黑色与复古棕两色可选，适合通勤、约会或商务场合。
作为 COACH 品牌对优雅生活方式的诠释，这款手提包不仅是实用单品，更是身份与品味的象征。
选择它，展现您对精致生活的追求！",2980.50,127,seller01@cxk.com
COACH 都市风尚休闲裤 C21升级版,"COACH 都市风尚休闲裤 C21升级版，专为现代都市人打造，融合经典与潮流，彰显高端品质。采用优质棉混纺面料，柔软舒适，透气性佳，提供全天候的穿着体验。
裤型设计修身显瘦，经典直筒剪裁，适合多种身形，腰围弹力设计更贴合人体曲线。提供深灰、海军蓝两色可选，尺码覆盖S-XXL。
无论是日常通勤还是周末出游，这款休闲裤都能让你轻松驾驭各种场景，展现COACH品牌一贯的精致与优雅。
COACH 始终秉持“传承与创新”的理念，将美式经典风格融入每一件单品，赋予穿着者独特魅力。",1299.99,328,seller01@cxk.com
Michael Kors 经典都市双肩背包 MK-2023 升级版,"这款 Michael Kors 经典都市双肩背包 MK-2023 升级版，完美诠释了品牌一贯的现代时尚与实用并重的设计理念。采用高级 PU 皮革与耐磨尼龙拼接工艺，兼具质感与耐用性；尺寸约为 30cm x 40cm x 15cm，容量充足，可轻松容纳 14 英寸笔记本电脑及日常必需品；经典黑色搭配金色 MK 标志 logo，五金细节尽显低调奢华。
适合都市通勤、短途旅行或日常出行，宽松肩带设计提供舒适背负体验，内部多层隔间让物品分类井井有条。
Michael Kors 始终致力于为现代都市人打造兼具功能性与时尚感的单品，这款双肩背包是你不可或缺的潮流伴侣！",1899.50,127,seller01@cxk.com
森马 羽绒服 2023冬季新款极寒防护版,"森马品牌全新推出的2023冬季极寒防护版羽绒服，专为抵御严寒设计，采用高品质90%白鸭绒填充，保暖指数MAX，轻松应对零下20℃低温！
面料选用防水防风尼龙材质，耐磨耐脏，内里加厚抓绒设计，舒适贴身。提供M至XXL多尺寸选择，经典黑、深蓝、卡其三色可选。
适合日常通勤、户外旅行或冬季运动等多种场景，展现森马“年轻、活力、时尚”的品牌理念，陪伴你度过每一个寒冷冬日！",599.99,1280,seller01@cxk.com
安踏 极寒羽绒服 2023冬季新款 男士防风保暖,"安踏 极寒羽绒服 2023冬季新款，专为严寒天气设计，采用高品质90%白鹅绒填充，保暖性能卓越，锁温不跑绒。
外层选用防风防水尼龙面料，耐磨抗撕裂，轻松应对户外风雪。
提供M-3XL多尺码选择，经典黑色与活力红两种配色，适合不同身材与风格。
无论城市通勤还是户外徒步，安踏羽绒服为您提供专业级保护，展现品牌“永不止步”的运动精神。
穿上它，寒冬也能热血沸腾！",799.99,1275,seller01@cxk.com
Tory Burch 经典羽绒服 TB-WinterShield 2023新款,"融合Tory Burch一贯的优雅与现代设计，这款TB-WinterShield 2023新款羽绒服专为寒冷冬季打造，采用90%优质白鹅绒填充，保暖性极佳，轻盈不臃肿。
外层选用防水尼龙面料，耐磨抗风，内里柔软舒适，提供全方位保护。经典TB双T标志点缀，彰显品牌格调。
提供S/M/L/XL四种尺码，经典黑色与优雅米白色可选，适合日常通勤、户外活动或冬季旅行等多种场景。
秉承Tory Burch“赋予女性自信与力量”的品牌理念，这款羽绒服不仅是保暖之选，更是时尚与功能的完美结合。",2980.50,127,seller01@cxk.com
H&M 都市风尚皮质钱包 2023新款,"来自H&M的这款2023新款都市风尚皮质钱包，完美融合时尚与实用，彰显品牌一贯的简约北欧设计理念。
精选优质PU皮革，触感细腻耐磨，尺寸为12cm x 9cm x 2cm，适合日常随身携带，提供黑色、棕色两种经典配色。
内部设计贴心，包含多个卡槽、钞票隔层和零钱拉链袋，轻松容纳银行卡、现金和小物件。
无论是日常通勤还是外出约会，这款钱包都能提升你的格调，展现H&M对细节与品质的追求。",129.90,127,seller01@cxk.com
Tory Burch 经典尖头高跟鞋 TB-2023 优雅限定款,"来自美国轻奢品牌 Tory Burch 的 TB-2023 尖头高跟鞋，专为追求优雅与品质的现代女性设计。
采用顶级小牛皮制作，柔软舒适，鞋跟高度 8cm，完美拉长腿部线条，展现迷人气质。
经典黑色与品牌标志性双 T Logo 装饰，彰显低调奢华，适合商务会议、晚宴派对或日常通勤等多种场合。
鞋码覆盖 35-40 码，内衬加垫设计，长时间穿着依然舒适。
Tory Burch 秉承“赋予女性自信与力量”的品牌理念，这款高跟鞋正是您衣橱中的优雅必备单品。",3280.50,127,seller01@cxk.com
李宁 都市运动风衬衫 LNX2023 男款,"融合李宁品牌运动基因与都市时尚的完美之作，这款李宁都市运动风衬衫 LNX2023 专为追求潮流与舒适并存的男士设计。
采用高品质95%棉5%氨纶面料，柔软透气，微弹设计更贴合身形，提供极佳穿着体验。
经典黑白两色可选，尺寸覆盖M至XXL，适合不同体型。
独特的前胸品牌Logo刺绣与简约剪裁，彰显李宁“一切皆有可能”的品牌精神。
适合日常通勤、街头出游或轻运动场景，轻松驾驭多重场合，展现自信风采。",229.90,1275,seller01@cxk.com
Nike 运动风连衣裙 AirFlow 2023新款,"专为热爱运动与时尚的女性打造，这款Nike AirFlow 2023新款连衣裙融合了品牌标志性的创新科技与优雅设计。采用轻盈透气的Dri-FIT面料，有效吸湿排汗，保持干爽舒适；裙身融入弹力聚酯纤维，提供S/M/L三种尺寸可选，经典黑白双色设计，贴合身形，展现活力曲线。
适合日常穿搭、健身房锻炼或户外活动，无论是晨跑还是街头漫步，都能彰显你的运动精神与时尚态度。
秉承Nike“JUST DO IT”的品牌理念，这款连衣裙激励你突破自我，随时随地展现最佳状态！",599.99,1275,seller01@cxk.com
波司登 都市轻便休闲鞋 B系列2023新款,"波司登全新推出的都市轻便休闲鞋 B系列2023新款，完美融合品牌一贯的品质与时尚设计理念。
采用高弹EVA鞋底，结合透气网布鞋面，带来极致舒适的穿着体验；鞋码覆盖35-45码，经典黑、白两色可选，满足多种搭配需求。
无论是日常通勤、户外散步还是朋友聚会，这款休闲鞋都能轻松驾驭，让你每一步都充满自信。
波司登始终秉持“温暖全世界”的理念，致力于为用户提供兼具实用性与时尚感的服饰鞋包产品。",299.90,1275,seller01@cxk.com
李宁 运动潮流棒球帽 LX-2023 升级版,"这款李宁 LX-2023 升级版运动潮流棒球帽，专为追求时尚与功能兼备的年轻人设计，完美诠释李宁品牌‘一切皆有可能’的运动精神。
采用高品质棉涤混纺面料，柔软舒适，透气性极佳，帽围可调节设计，适合头围54-60cm，经典黑白撞色搭配，潮流感十足。
帽檐内置硬质支撑，不易变形，遮阳效果出色，适合户外运动、街头穿搭或日常出行等多种场景。
帽身刺绣李宁经典Logo，彰显品牌态度与个性，助你成为街头焦点！",89.99,1275,seller01@cxk.com
波司登 轻盈防滑休闲鞋 2023秋冬新款,"波司登作为国内知名羽绒服品牌，秉承“温暖全世界”的理念，推出这款2023秋冬新款轻盈防滑休闲鞋，专为都市潮流人士设计。
鞋面采用高品质合成革与网布拼接，透气舒适，同时提供良好的防水性能；鞋底选用耐磨橡胶材质，配备波司登独家防滑纹路设计，确保湿滑路面也能稳健行走。
内里填充轻质保暖层，适合秋冬日常穿着，尺码覆盖35-45，颜色可选经典黑、深灰和秋叶棕。
无论是日常通勤、户外散步还是短途旅行，这款休闲鞋都能完美搭配，兼顾时尚与实用，展现波司登对品质与细节的极致追求。",299.99,1275,seller01@cxk.com
Zara 经典都市手提包 Z2023 升级版,"来自Zara的经典都市手提包 Z2023 升级版，专为现代都市女性设计，融合时尚与实用性。
采用高品质仿皮革材质，触感柔软耐磨，搭配精致金属扣饰，展现Zara一贯的简约优雅风格。
尺寸为35cm x 25cm x 12cm，提供充足容量，可容纳A4文件、平板电脑及日常必需品，内设多层隔袋，方便分类存放。
经典黑色与百搭卡其色可选，适合通勤、约会或休闲出行等多种场景，完美提升个人气质。
Zara始终秉持“快时尚，高质量”的品牌理念，让每位用户以亲民价格享受前沿设计。",329.90,127,seller01@cxk.com
Zara 经典都市风钱包 ZW-2023,"来自Zara的ZW-2023经典都市风钱包，专为现代都市人设计，融合时尚与实用性。
采用高品质PU皮革，触感细腻耐磨，尺寸为12cm x 9cm x 3cm，适合日常随身携带，内部设有多个卡槽和拉链零钱袋，可容纳身份证、银行卡及少量现金，轻松整理个人物品。
提供优雅黑色与复古棕色两种选择，完美搭配Zara服饰，无论是商务通勤还是休闲约会，都能展现你的精致品味。
Zara品牌始终秉持“时尚触手可及”的理念，让每一位用户都能以平易近人的价格享受前沿设计。快来入手这款钱包，点亮你的日常造型！",129.90,357,seller01@cxk.com
COACH 经典印花T恤 2023新款,"COACH 经典印花T恤 2023新款，完美诠释都市轻奢风尚！采用100%优质纯棉面料，柔软透气，穿着舒适不闷热。独特的品牌Logo印花设计，彰显COACH一贯的精致与优雅。提供S/M/L/XL多尺寸选择，经典黑白两色可选，适合日常通勤、休闲聚会或户外旅行等多种场景，轻松打造时尚造型。
COACH始终秉承“现代豪华”的设计理念，让每件单品都成为品质与风格的象征。这款T恤不仅是衣橱必备，更是彰显个人品味的完美选择！",799.50,126,seller01@cxk.com
安踏 运动风连衣裙 2023新款女装,"安踏全新推出的运动风连衣裙，专为追求时尚与舒适并存的女性设计，完美融合品牌运动基因与潮流元素！
采用高弹力聚酯纤维面料，柔软透气，吸湿排汗，适合春夏季穿着；提供S/M/L/XL多种尺寸，经典黑白双色可选，裙长适中，修身显瘦。
无论是日常出街、健身后轻松换装，还是闺蜜聚会，这款连衣裙都能让你成为焦点！
安踏秉承“永不止步”的品牌精神，助力每一位女性展现自信与活力！",229.90,1278,seller01@cxk.com
Nike 都市探险者双肩背包 Pro Max 2023款,"来自Nike的都市探险者双肩背包 Pro Max 2023款，专为追求潮流与实用的你打造！采用高强度尼龙材质，防水耐磨，尺寸为45cm x 30cm x 15cm，容量约20L，轻松装下笔记本、运动装备或日常必需品。背包配备多层隔间设计，内置笔记本专用夹层，保护你的电子设备。经典黑色搭配Nike标志性Swoosh Logo，时尚感爆棚！
无论是日常通勤、校园生活还是短途旅行，这款背包都能完美适配，助力你无畏前行，展现Nike“JUST DO IT”的无畏精神。
选择它，开启你的都市探险之旅！",499.99,127,seller01@cxk.com
Michael Kors 轻奢都市运动鞋 MK-Pro 2023款,"融合Michael Kors经典轻奢设计与运动功能的全新力作，这款MK-Pro 2023款运动鞋专为都市潮人打造。
采用高品质合成革与透气网布材质，鞋底搭载EVA缓冲科技，提供卓越的舒适性与支撑力；多色可选，包括经典黑、时尚白和活力红，尺码覆盖35-45码，满足不同需求。
无论是日常通勤、健身锻炼还是街头潮流穿搭，MK-Pro都能完美驾驭，展现Michael Kors一贯的优雅与力量并存的品牌理念。
让每一步都成为焦点，彰显你的独特品味与生活态度！",1588.50,127,seller01@cxk.com
安踏 运动潮流T恤 2023新款男士短袖,"安踏全新推出的2023款运动潮流T恤，专为热爱运动与街头风的年轻男士设计！采用高科技速干面料，95%棉+5%氨纶混纺，柔软透气，吸汗速干，运动后也能保持干爽舒适。
提供M、L、XL、XXL多尺寸选择，经典黑白灰三色可选，版型修身，彰显活力身材。
无论是健身房挥汗如雨，还是街头休闲出行，这款T恤都能完美适配，展现安踏“要疯”精神的运动态度。
安踏品牌始终倡导挑战自我，突破极限，穿上这款T恤，释放你的运动激情！",89.90,1275,seller01@cxk.com
COACH 轻奢运动鞋 城市漫步系列 C21,"COACH 轻奢运动鞋 城市漫步系列 C21，专为都市潮人设计，融合经典与现代风格，彰显品牌优雅与活力并存的理念。
采用高品质牛皮与网眼布拼接鞋面，透气舒适；EVA轻质大底，防滑耐磨，提供卓越抓地力。
鞋码覆盖35-45码，经典黑白配色，适合日常通勤、健身或周末出游等多种场景。
COACH 致力于为每一步注入时尚与力量，这款运动鞋让你在城市中自信漫步，成为街头焦点！",1299.50,237,seller01@cxk.com
Nike 运动休闲裤 AirMax 舒适版,"专为追求时尚与舒适并存的你打造！Nike AirMax 舒适版休闲裤采用高品质棉混纺面料，柔软透气，贴合肌肤；独特的立体剪裁设计，结合弹性腰带，提供极致穿着体验。裤身融入经典 Nike Swoosh 标志，彰显品牌力量。适合日常出行、健身或街头潮流穿搭，展现你的活力与个性！
主要参数：材质 80% 棉 + 20% 聚酯纤维，尺寸 S-XXL，经典黑/灰/海军蓝三色可选。
秉承 Nike “Just Do It” 的精神，激发你的运动潜能，随时随地展现最佳状态！",329.99,1275,seller01@cxk.com
COACH 经典羊绒围巾 秋冬保暖系列,"COACH 经典羊绒围巾，秋冬保暖系列，专为追求品质与时尚的您打造！
这款围巾采用100%优质羊绒制成，触感柔软细腻，保暖性极佳，尺寸为180cm x 30cm，适合多种搭配方式。经典深灰与驼色拼接设计，展现COACH品牌一贯的低调奢华风格。
无论是日常通勤、商务场合还是冬日出游，这款围巾都能为您增添优雅气质，抵御寒风。
COACH始终秉持精湛工艺与时尚设计的品牌理念，让每一位顾客感受到独特的品味与温暖！",799.50,326,seller01@cxk.com
Michael Kors 经典都市手提包 MK2023升级版,"这款Michael Kors 经典都市手提包 MK2023升级版，完美诠释了品牌的奢华与实用并存的设计理念。采用优质荔枝纹牛皮材质，触感细腻耐磨，尺寸为35cm x 25cm x 15cm，容量足以容纳日常必需品，适合商务或休闲场合。配备可拆卸肩带，轻松切换手提或斜挎风格，经典黑色与金色金属 logo 相得益彰，彰显低调优雅气质。
无论是通勤上班还是周末出游，这款手提包都能成为您的时尚焦点，展现Michael Kors一贯的精致与现代都市感。",2299.99,128,seller01@cxk.com
Tory Burch 经典波西米亚风连衣裙 TB2023秋季新款,"来自Tory Burch的TB2023秋季新款连衣裙，以波西米亚风格为核心设计，展现自由与优雅的完美结合。
选用高品质真丝混纺面料，触感柔滑，透气性佳，提供极致穿着舒适感。
裙身采用经典A字版型，适合多种身形，配色为秋季限定的枫叶棕与米白撞色，尽显复古浪漫气质。
尺寸覆盖S至XL，满足不同需求。
适合日常通勤、约会聚会或度假旅行穿着，彰显Tory Burch品牌一贯的精致与随性兼备的理念。
无论是城市街头还是海边度假，这款连衣裙都能让你成为焦点。",3599.99,128,seller01@cxk.com
李宁 轻奢运动风钱包 LNW-2023款,"融合李宁品牌运动基因与时尚设计，这款 LNW-2023款钱包专为都市潮流青年打造，展现个性与实用兼备的风格。
采用高品质PU皮革与耐磨尼龙拼接，尺寸为12cm x 9.5cm x 2cm，提供经典黑与活力红两种配色。
内置多卡槽设计，可容纳6张银行卡、1个身份证位及1个大钞位，轻松满足日常收纳需求。
轻薄便携，无论是运动出行还是商务通勤，都能完美搭配，彰显李宁“一切皆有可能”的品牌精神。
无论是自用还是送礼，都是兼具时尚与实用性的不二之选！",129.90,1278,seller01@cxk.com
Adidas 经典运动风围巾 AW2023 升级版,"Adidas 经典运动风围巾 AW2023 升级版，专为运动与时尚兼备的你打造！采用高品质羊毛混纺面料，触感柔软舒适，保暖性能极佳，尺寸为 180cm x 30cm，适合多种系法，经典黑白配色搭配 Adidas 标志性三条纹设计，彰显品牌运动基因。
无论是日常出行、户外运动还是秋冬街头造型，这款围巾都能为你增添时尚感与实用性，完美应对寒冷天气。
传承 Adidas 追求卓越与创新的品牌理念，助你每一天都活力满满！",199.90,127,seller01@cxk.com
Zara 经典潮流T恤 2023秋季新款,"来自Zara的2023秋季新款T恤，完美诠释了简约与时尚的结合。这款T恤采用100%纯棉面料，柔软透气，亲肤舒适，适合日常穿着。设计上融入Zara一贯的极简主义风格，经典圆领搭配修身剪裁，展现优雅身形。提供S/M/L/XL多种尺寸可选，颜色有黑色、白色和灰色，满足不同搭配需求。
无论是上班通勤还是周末出游，这款T恤都能轻松驾驭，完美适应各种场景。Zara始终秉持“快速时尚”的品牌理念，为你带来最新潮流单品，助力自信表达！",129.90,1275,seller01@cxk.com
李宁 都市轻便钱包 LNW-2023 款,"来自李宁品牌的这款都市轻便钱包 LNW-2023 款，专为现代都市生活设计，完美融合运动与时尚元素。采用高品质PU皮革，耐磨耐用，尺寸为12cm x 9.5cm x 2cm，重量仅120g，轻薄便携。内设多卡槽与大容量钞票隔层，可容纳10张卡片及适量现金，满足日常出行需求。深灰与经典黑两色可选，简约而不失格调。
无论是日常通勤、运动健身后收纳，还是短途旅行，李宁钱包都能轻松应对，让您的生活更具秩序感。作为中国领先运动品牌，李宁秉承“一切皆有可能”的理念，为您带来兼具实用性与设计感的产品。
选择李宁钱包，展现您的独特品味与活力生活方式！",129.90,320,seller01@cxk.com
Adidas 经典Stan Smith休闲鞋升级版,"Adidas 经典Stan Smith休闲鞋升级版，传承品牌标志性简约设计，融合现代潮流元素，打造百搭街头风格！
鞋面采用优质真皮材质，触感细腻，透气舒适，搭配经典三条纹设计，彰显Adidas品牌基因。
鞋底搭载EVA缓震技术，提供全天候舒适脚感，适合日常通勤、休闲出行或朋友聚会等多种场景。
提供黑白两色可选，尺码覆盖35-45码，满足不同需求。
Adidas始终秉持“通过运动改变生活”的理念，这款Stan Smith休闲鞋将陪伴你自信迈步每一刻！",699.99,1278,seller01@cxk.com
Tory Burch 经典修身牛仔裤 TB2023 秋冬新款,"来自美国高端时尚品牌 Tory Burch 的 TB2023 秋冬新款牛仔裤，以经典修身剪裁完美展现身材曲线，融合品牌一贯的优雅与现代感。
采用高品质 98% 棉与 2% 氨纶混纺面料，柔软舒适且富有弹力，穿着体验极佳。
提供深蓝色、黑色两色可选，尺码覆盖 XS 至 XL，满足不同身型需求。
无论是日常通勤搭配白衬衫，还是周末出游配上休闲上衣，这款牛仔裤都能让你轻松驾驭多种场景，彰显 Tory Burch 倡导的自信与精致生活态度。
细节处可见品牌标志性双 T Logo 金属纽扣，尽显低调奢华。",1588.50,327,seller01@cxk.com
李宁 轻盈云动休闲鞋 2023新款,"融合李宁品牌经典设计与现代科技，这款轻盈云动休闲鞋专为都市潮人打造，采用高弹EVA中底，带来极致缓震体验，鞋面选用透气网布与合成革拼接，兼顾舒适与耐穿，适合日常通勤、户外散步及轻运动场景。
提供多种尺寸（35-45码）和流行配色（黑白经典、灰蓝潮流），满足不同需求。
鞋款搭载李宁云科技，步履如云，轻盈无负担，彰显品牌“以运动激发灵感”的理念。
无论是街头潮流还是休闲出行，这款鞋都能完美匹配你的生活方式！",329.99,1287,seller01@cxk.com
Nike 经典运动风衬衫 2023秋季新款,"这款Nike 经典运动风衬衫2023秋季新款，专为运动与时尚兼顾的你设计！采用高品质聚酯纤维与棉混纺面料，柔软透气，吸湿排汗，带来全天候舒适体验。
提供S/M/L/XL多种尺寸，经典黑白配色，简约百搭，彰显Nike标志性swoosh logo设计。
无论是健身房挥汗如雨，还是街头休闲出游，这款衬衫都能完美适配，展现你的活力与品味。
秉承Nike“just do it”的品牌精神，助你无畏挑战，突破自我！",289.99,1275,seller01@cxk.com
李宁 冬季运动风围巾 LNW2023,"李宁全新冬季运动风围巾 LNW2023，专为热爱运动与时尚的你打造！这款围巾采用高品质羊毛混纺面料，柔软舒适，保暖性能极佳，尺寸为180cm x 30cm，适合多种系法，经典黑灰配色，彰显低调潮流。
无论是日常出行还是户外运动，李宁围巾都能为你抵御寒风，展现运动活力。
作为中国领先的运动品牌，李宁始终坚持“让改变发生”的理念，这款围巾将运动与时尚完美融合，伴你自信面对每一个寒冷冬日！",129.99,1275,seller01@cxk.com
森马 休闲鞋 2023秋季新款轻便潮流男鞋,"森马2023秋季新款休闲鞋，专为年轻潮流一族设计，彰显森马“穿什么就是什么”的品牌态度！
采用优质合成革与透气网布结合，轻质EVA大底，脚感柔软舒适，提供全天候穿着体验。鞋面撞色设计，时尚百搭，搭配牛仔裤或休闲装，轻松应对校园、街头、聚会等多种场景。
可选尺码36-44，经典黑白两色可选，适合不同脚型，展现个性风格。
森马始终致力于为年轻人打造舒适与潮流兼备的服饰鞋包，这款休闲鞋正是你的不二之选！",229.90,1278,seller01@cxk.com
Adidas 经典保暖羽绒服 三叶草系列2023新款,"Adidas 三叶草系列2023新款羽绒服，专为寒冷冬季打造，融合经典与创新！
采用高品质90%白鸭绒填充，保暖性能极佳，轻盈不臃肿；表层使用防风防水尼龙面料，耐磨耐用，轻松应对雨雪天气。
提供S至XXL多种尺寸，经典黑与活力红两色可选，搭配标志性三条纹设计，彰显街头潮流风范。
适合户外运动、日常通勤或冬季旅行穿着，让你在寒风中依然保持活力与时尚，展现Adidas“通过运动改变生活”的品牌精神！",1299.50,328,seller01@cxk.com
H&M 经典尖头高跟鞋 2023秋冬新款,"来自H&M的这款经典尖头高跟鞋，专为追求时尚与舒适的都市女性设计。采用优质仿麂皮材质，柔软贴合，鞋跟高度7.5cm，完美拉长腿部线条，展现优雅气质。提供经典黑色与复古酒红色两种选择，尺码覆盖35-40码，满足不同需求。无论是日常通勤还是晚宴派对，这款高跟鞋都能让你自信出彩，彰显H&M一贯的简约时尚品牌理念。
H&M始终致力于以环保和可持续的方式，为每一位顾客带来高性价比的潮流单品，这款高跟鞋正是这一理念的体现。快来体验吧！",299.90,128,seller01@cxk.com
安踏 极寒羽绒服 2023新款 男士防风保暖,"安踏 极寒羽绒服 2023新款，专为寒冷冬季设计，采用高品质90%白鸭绒填充，保暖指数高达800蓬松度，轻松抵御-30°C极寒天气。
面料选用防水防风尼龙材质，搭配YKK顶级拉链，确保户外活动无忧。
提供M-3XL多尺码选择，经典黑色与活力红两色可选，适合日常通勤、户外徒步或冬季旅行。
安踏秉承“永不止步”的品牌理念，致力于为消费者带来舒适与科技兼备的穿着体验，陪你挑战每一次寒冷！",599.90,1280,seller01@cxk.com
太平鸟 都市潮流双肩背包 PB-Y2023,"太平鸟全新推出的都市潮流双肩背包 PB-Y2023，专为年轻时尚一族设计，完美融合品牌“年轻、活力、个性”的理念。
采用高品质尼龙材质，防水耐磨，尺寸为45cm*30cm*15cm，容量约20L，轻松容纳14英寸笔记本电脑和日常必需品。
提供经典黑与活力红两色可选，搭配太平鸟标志性Logo，彰显品牌格调。
无论是校园通勤还是城市出行，这款背包都能满足多场景需求，舒适肩带设计久背不累，展现你的独特风格。",329.90,1275,seller01@cxk.com
波司登 极寒防护羽绒服 B301款,"波司登 极寒防护羽绒服 B301款，专为极寒天气设计，采用高品质90%白鹅绒填充，蓬松度高达800+，保暖性能卓越，轻松应对零下30度低温环境。
外层选用防水防风尼龙面料，内里加厚抓绒设计，穿着舒适又贴身，提供双重锁温体验。
提供经典黑、极地白、深蓝三色可选，尺码覆盖S至3XL，适合不同身形。
无论是冬季户外探险、极地旅行，还是日常通勤，波司登始终是您最可靠的温暖守护者。
作为羽绒服领域的领先品牌，波司登秉持“让世界爱上中国羽绒”的理念，专注每一件产品细节，温暖每一个冬天。",1299.99,368,seller01@cxk.com
森马 优雅气质高跟鞋 SM-HF2023,"森马全新推出的优雅气质高跟鞋 SM-HF2023，专为都市女性设计，展现独特魅力与自信风采。
采用优质PU皮革材质，柔软舒适，鞋跟高8cm，完美拉长腿部线条，搭配经典黑色与时尚酒红色两种选择，满足多种穿搭需求。
鞋底防滑设计，无论是日常通勤、商务场合还是晚宴约会，都能让你步履轻盈，优雅从容。
森马品牌秉承“穿森马，走天下”的理念，致力于为年轻一代打造时尚与舒适兼备的服饰鞋履体验。
尺码齐全，35-40码可选，赶快入手，成为街头焦点！",239.90,127,seller01@cxk.com
波司登 轻奢单肩包 2023新款都市风,"波司登全新推出的轻奢单肩包，专为都市时尚人士设计，融合品牌一贯的精致工艺与实用理念。
采用高品质尼龙与PU皮革混搭材质，防水耐磨，尺寸约28cm*20cm*10cm，容量足以装下日常必需品，如手机、钱包和化妆品。
经典黑色与银色Logo点缀，展现低调奢华，适合通勤、约会或休闲出行等多种场景。
肩带可调节，贴合人体工学设计，久背无负担，彰显波司登“温暖与时尚同行”的品牌精神。",299.99,128,seller01@cxk.com
波司登 轻便休闲鞋 都市探索款,波司登作为国内知名品牌，致力于打造兼具时尚与实用性的服饰鞋包产品。这款波司登 轻便休闲鞋 都市探索款专为都市生活设计，采用高品质合成革与网布拼接材质，透气舒适，鞋底使用耐磨EVA+橡胶复合技术，提供优越抓地力与缓震效果。鞋款提供黑色、灰色两种经典配色，尺码覆盖35-45，适合不同人群。无论是日常通勤、街头漫步还是周末出游，这款休闲鞋都能完美适配，展现波司登“温暖全世界”的品牌理念，陪伴您每一步前行。,299.99,1275,seller01@cxk.com
李宁 都市轻便单肩包 LNBK2023,"【李宁官方正品】这款李宁都市轻便单肩包 LNBK2023 是运动与时尚的完美结合，专为都市潮流青年设计！
采用高强度尼龙面料，耐磨防水，尺寸约 30cm*15cm*10cm，容量适中，可轻松装下手机、钱包、钥匙等日常必需品。
配备可调节肩带，佩戴舒适，适合健身、通勤或短途旅行等多种场景。
经典黑色搭配李宁标志性Logo，展现品牌运动基因与现代设计理念，助你随时随地彰显个性与活力！",229.99,1278,seller01@cxk.com
太平鸟 都市风单肩包 2023新款TPB-X23,"太平鸟 2023新款都市风单肩包TPB-X23，专为年轻潮流一族打造，融合品牌“自由与个性”的设计理念，彰显独特气质。
采用高品质PU皮革，耐磨耐用，尺寸为28cm*18cm*10cm，容量适中，可轻松容纳手机、钱包、化妆品等日常必需品，提供黑色和米白色两款经典配色。
适合日常通勤、约会或短途旅行，斜挎设计解放双手，展现轻松时尚风格。
无论是搭配牛仔裤还是连衣裙，都能为你的造型增添一抹亮点，选择太平鸟，定义你的潮流态度！",299.90,1275,seller01@cxk.com
网易严选 云舒记忆枕 50x30cm,"网易严选云舒记忆枕，专为追求高品质睡眠的用户设计，采用进口慢回弹记忆棉，贴合颈部曲线，提供卓越支撑，缓解颈椎压力，助您一夜好眠。
枕头尺寸为50x30cm，适合各类睡姿，表层选用透气冰丝面料，柔软亲肤，四季皆宜。
内芯可拆洗，保持清洁卫生。作为网易严选明星单品，秉承“严选好物，用心生活”的品牌理念，为您的卧室增添一抹舒适与格调。
无论是午休小憩还是夜间深眠，这款枕头都是您的理想伴侣。",129.90,1275,seller01@cxk.com
